低PV_URL,低PV_タイトル,PV,統合先_slug,統合先_ブランド,統合先_タイトル,共通KW,スコア
https://m.firekids.jp/00/8542/,ジャガー・ルクルト「マニュファクチュール」の実力｜IWCペラトン機構とムーブメント供給の系譜,22,166_article_pellaton_mechanism,JLC,﻿ジャガー・ルクルト「マニュファクチュール」の実力｜IWCペラトン機構とムーブメント供給の系譜,マニュファクチュール/ジャガー・ルクルト/ムーブメント/ジャガー/IWC/ペラトン/ルクルト,7
https://m.firekids.jp/00/8543/,ジャガー・ルクルト ヴィンテージ キャリバー 一覧｜1940〜80年代の主要Cal.を解説,6,167_article_vintage_caliber_list,JLC,﻿ジャガー・ルクルト ヴィンテージ キャリバー一覧｜1940〜80年代の主要Cal.を解説,キャリバー/ジャガー・ルクルト/ヴィンテージ/ジャガー/ルクルト/1940,6
https://m.firekids.jp/00/8544/,シチズン クリスタルセブン・レオパール解説｜カットガラスとカラーダイヤルの国産自動巻き,6,178_article_crystal_seven,CITIZEN,﻿シチズン クリスタルセブン・レオパール解説｜カットガラスとカラーダイヤルの国産自動巻き,レオパール/クリスタルセブン/カラーダイヤル/カットガラス/シチズン,5
https://m.firekids.jp/00/8296/,セイコー ファースト（初代クロノグラフ）Cal.6138A・6139 解説,85,346_article_seiko_chrono_first,SEIKO,﻿セイコー ファースト（初代クロノグラフ）Cal.6138A・6139 解説,CAL6138/ファースト/6139/クロノグラフ/セイコー,5
https://m.firekids.jp/00/8246/,ロレックス デイトジャスト Cal.1570・3035・3135の違い,90,266_article_dj_caliber,ROLEX,﻿ロレックス デイトジャスト Cal.1570・3035・3135の違い,ロレックス/デイトジャスト/CAL1570/1570/3035,5
https://m.firekids.jp/00/8469/,ロンジン コンクエスト ヴィンテージ｜コンステレーション対抗馬として生まれたスポーツ・ドレス兼用モデル,53,001_article_conquest_vintage,LONGINES,﻿ロンジン コンクエスト ヴィンテージ｜コンステレーション対抗馬として生まれたスポーツ・ドレス兼用モデル,ロンジン/ヴィンテージ/コンクエスト/スポーツ/コンステレーション,5
https://m.firekids.jp/00/8526/,ロンジン ゴールドケース 1950-60年代ドレスウォッチ｜18K・14K・ゴールドフィルドの違いとCal.30L,18,013_article_gold_dress,LONGINES,﻿ロンジン ゴールドケース 1950-60年代ドレスウォッチ,ドレスウォッチ/ロンジン/ゴールドケース/1950,4
https://m.firekids.jp/00/8541/,ジャガー・ルクルト Cal.K1071・K1072 解説｜ヴァシュロンやAPにも供給された名機の魅力,24,161_article_cal_k1071,JLC,﻿ジャガー・ルクルト Cal.K1071・K1072 解説｜ヴァシュロンやAPにも供給された名機の魅力,ヴァシュロン/ジャガー/ジャガー・ルクルト/ルクルト,4
https://m.firekids.jp/00/8521/,ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ｜スキンダイバー・スーパーコンプレッサー解説,25,012_article_diver,LONGINES,﻿ロンジン ダイバーズウォッチ 1960-70年代ヴィンテージ,ダイバーズウォッチ/ヴィンテージ/ロンジン/1960,4
https://m.firekids.jp/00/6358/,ジャガー・ルクルトの人気モデル『レベルソ』の最新トリビュート・クロノグラフ！,26,172_article_reverso,JLC,﻿ジャガー・ルクルト レベルソ ヴィンテージ｜1930〜60年代 反転ケースの歴史,ジャガー/レベルソ/ジャガー・ルクルト/ルクルト,4
https://m.firekids.jp/00/8512/,ロンジン ヴィンテージ キャリバー一覧｜1940〜80年代の名機を解説,54,008_article_vintage_caliber_list,LONGINES,﻿ロンジン ヴィンテージ キャリバー一覧｜1940〜80年代の名機を解説,ヴィンテージ/キャリバー/ロンジン/1940,4
https://m.firekids.jp/00/8190/,オメガ フライトマスター Cal.910/911 パイロットウォッチ解説,80,228_article_flightmaster,OMEGA,﻿オメガ フライトマスター Cal.910/911 パイロットウォッチ解説,フライトマスター/CAL910/パイロットウォッチ/オメガ,4
https://m.firekids.jp/00/8134/,セイコーマチック解説｜セルフデーター・ウィークデーターの違いとセイコー5の原点,86,150_article_seikomatic,SEIKO,セイコーマチック全解説｜セルフデーター・ウィークデーターの違いとセイコー5の原点,セルフデーター/セイコーマチック/ウィークデーター/セイコー,4
https://m.firekids.jp/00/8515/,ブライトリング トップタイム Ref.810 1960年代クロノグラフ,46,069_article_top_time,BREITLING,﻿ブライトリング トップタイム Ref.810 1960年代クロノグラフ,クロノグラフ/REF810/トップタイム/ブライトリング,4
https://m.firekids.jp/50/8483/,1940〜50年代ロレックスの世界｜バブルバックからオイスターパーペチュアルへ,56,055_article_1940s_50s,ROLEX,﻿1940〜50年代ロレックスの世界｜バブルバックからオイスターパーペチュアルへ,ロレックス/1940/バブルバック/オイスターパーペチュアル,4
