URL,タイトル,PV90d,既存slug,タイトル類似度
https://m.firekids.jp/00/8545/,シチズン エース・ジェットの世界｜企業特注モデルからジェットローターまで解説 – FIREKIDS MAGAZINE,4,179_article_ace_jet,0.96
https://m.firekids.jp/00/8544/,シチズン クリスタルセブン・レオパール解説｜カットガラスとカラーダイヤルの国産自動巻き – FIREKIDS MAGAZINE,6,178_article_crystal_seven,0.97
https://m.firekids.jp/00/8543/,ジャガー・ルクルト ヴィンテージ キャリバー 一覧｜1940〜80年代の主要Cal.を解説 – FIREKIDS MAGAZINE,6,167_article_vintage_caliber_list,0.96
https://m.firekids.jp/00/8542/,ジャガー・ルクルト「マニュファクチュール」の実力｜IWCペラトン機構とムーブメント供給の系譜 – FIREKIDS MAGAZINE,22,166_article_pellaton_mechanism,0.97
https://m.firekids.jp/00/8541/,ジャガー・ルクルト Cal.K1071・K1072 解説｜ヴァシュロンやAPにも供給された名機の魅力 – FIREKIDS MAGAZINE,24,161_article_cal_k1071,0.97
https://m.firekids.jp/00/8539/,ハイビート（10振動）ムーブメントの魅力｜GS・ロンジン・ゼニスの1960年代競争史 – FIREKIDS MAGAZINE,26,100_article_highbeat,0.97
https://m.firekids.jp/00/8505/,ブライトリング 初代クロノマット｜1940年代 軍用計算クロノグラフの原点 – FIREKIDS MAGAZINE,27,068_article_chronomat_vintage,0.96
https://m.firekids.jp/00/8219/,セイコー手巻きクロノグラフの世界｜Cal.5717搭載・国産初のクロノグラフを解説 – FIREKIDS MAGAZINE,34,154_article_hand_wind_chrono,0.96
https://m.firekids.jp/00/8538/,手元の時計の文字盤はオリジナル？リダン？——その違いが分かると時計の見方が変わる – FIREKIDS MAGAZINE,34,088_article_original_vs_relumed,0.96
https://m.firekids.jp/00/8515/,ブライトリング トップタイム Ref.810 1960年代クロノグラフ – FIREKIDS MAGAZINE,46,069_article_top_time,0.96
https://m.firekids.jp/00/8249/,オメガ クロノストップ Cal.865/920 1960年代解説 – FIREKIDS MAGAZINE,51,229_article_chronostop,0.96
https://m.firekids.jp/00/8469/,ロンジン コンクエスト ヴィンテージ｜コンステレーション対抗馬として生まれたスポーツ・ドレス兼用モデル – FIREKIDS MAGAZINE,53,001_article_conquest_vintage,0.97
https://m.firekids.jp/00/8512/,ロンジン ヴィンテージ キャリバー一覧｜1940〜80年代の名機を解説 – FIREKIDS MAGAZINE,54,008_article_vintage_caliber_list,0.96
https://m.firekids.jp/00/8197/,コラムホイール式クロノグラフとは？カム式との違い – FIREKIDS MAGAZINE,56,251_article_column_wheel_vs_cam,1.0
https://m.firekids.jp/50/8483/,1940〜50年代ロレックスの世界｜バブルバックからオイスターパーペチュアルへ – FIREKIDS MAGAZINE,56,055_article_1940s_50s,0.96
https://m.firekids.jp/00/8324/,セイコー セルフデーター 解説 – FIREKIDS MAGAZINE,61,365_article_seiko_self_dater,0.91
https://m.firekids.jp/00/8444/,腕時計のインデックスとは？種類と読み方 – FIREKIDS MAGAZINE,64,431_article_index_guide,0.93
https://m.firekids.jp/03/8447/,カルティエの時計、男性が選ぶならどれ？ヴィンテージという選択肢 – FIREKIDS MAGAZINE,66,428_article_cartier_mens,0.95
https://m.firekids.jp/00/8534/,手元のヴィンテージ時計、オーバーホールはいつすべき？｜メンテナンスの基本知識 – FIREKIDS MAGAZINE,72,087_article_overhaul_guide,0.96
https://m.firekids.jp/12/8508/,ロレックス Cal.1030の特徴とオーバーホール｜バタフライローター搭載の自動巻きムーブメント – FIREKIDS MAGAZINE,76,067_article_cal1030,0.97
https://m.firekids.jp/00/8476/,グランドセイコーの人気モデルは？ヴィンテージから選ぶなら – FIREKIDS MAGAZINE,78,435_article_gs_popular,0.95
https://m.firekids.jp/00/8190/,オメガ フライトマスター Cal.910/911 パイロットウォッチ解説 – FIREKIDS MAGAZINE,80,228_article_flightmaster,0.96
https://m.firekids.jp/00/8296/,セイコー ファースト（初代クロノグラフ）Cal.6138A・6139 解説 – FIREKIDS MAGAZINE,85,346_article_seiko_chrono_first,0.96
https://m.firekids.jp/00/8401/,ロレックスのボーイズサイズとは？30〜32mmの選び方と魅力 – FIREKIDS MAGAZINE,85,421_article_rolex_boys_size,1.0
https://m.firekids.jp/00/8134/,セイコーマチック解説｜セルフデーター・ウィークデーターの違いとセイコー5の原点 – FIREKIDS MAGAZINE,86,150_article_seikomatic,0.99
https://m.firekids.jp/00/8246/,ロレックス デイトジャスト Cal.1570・3035・3135の違い – FIREKIDS MAGAZINE,90,266_article_dj_caliber,0.96
https://m.firekids.jp/00/8226/,ロレックス オイスターケースとは？防水構造の仕組みと搭載モデル解説 – FIREKIDS MAGAZINE,91,273_article_oyster_case,0.96
https://m.firekids.jp/00/8502/,ロンジン ウィームス・リンドバーグ 解説｜航空時計の原点を読み解く – FIREKIDS MAGAZINE,100,007_article_weems_lindbergh,0.96
